Price,Close,High,Low,Open,Volume,Daily_Return,20_Day_MA,20_Day_Volatility
Ticker,COMI.CA,COMI.CA,COMI.CA,COMI.CA,COMI.CA,,,
Date,,,,,,,,
2024-04-22,78.79003143310547,80.10076982140636,78.79003143310547,78.79003143310547,7381776,0.006199617149526437,78.9372344970703,0.3623323745216556
2024-04-23,75.27530670166016,79.1298541568343,75.14908996909877,78.79003417876906,6288227,-0.044608748943442134,78.59085426330566,0.39266258394844245
2024-04-24,72.04214477539062,76.12000663905712,71.75087368996287,75.27530493552511,3359691,-0.04295116244538966,78.10163192749023,0.41619667636124025
2024-04-28,72.04214477539062,72.04214477539062,72.04214477539062,72.04214477539062,0,0.0,77.6124095916748,0.41619667636124025
2024-04-29,72.81887817382812,72.81887817382812,68.74102395910148,68.61479982945447,4266090,0.010781652890251348,77.15237464904786,0.41950725352065127
2024-04-30,69.80903625488281,73.59561959474806,69.42066740329054,72.81888189156349,4730666,-0.041333264043980855,76.59491920471191,0.43780241651172086
2024-05-02,71.09064483642578,72.81887836440455,70.81878887573511,70.88675286590778,2545410,0.018358777749969635,76.16812515258789,0.44523287223332825
2024-05-07,74.7315902709961,74.7315902709961,70.68286232958866,71.09064627889887,2874490,0.05121553536260448,76.04496002197266,0.4771512039535052
2024-05-08,70.98384857177734,74.76072075497925,70.63431733668494,74.73159438664153,5455850,-0.050149363684466874,75.88011322021484,0.49156310343917864
2024-05-09,71.18773651123047,72.63440284742536,70.85762781214042,70.98384453693612,2902234,0.002872314527254227,75.48326187133789,0.4239877050182991
2024-05-12,70.682861328125,72.23632926123908,70.58576356369585,71.1877356285673,1281656,-0.007092165137541961,75.1576602935791,0.4178594103755959
2024-05-13,72.07127380371094,72.81887768867283,71.07122166113696,70.68286023947948,4173956,0.019642844807040705,74.8923126220703,0.4258092823450688
2024-05-14,72.81887817382812,73.44997659950518,72.1295270160182,72.07127428388533,2245231,0.010373125527839644,74.61320343017579,0.42447158510060035
2024-05-15,72.33341979980469,73.27521181998512,71.26541105607656,72.81887899309197,2437246,-0.006666655490964679,74.37012977600098,0.4223142857396423
2024-05-16,72.9256820678711,74.03252845811878,72.33342124760458,72.33342124760458,3885387,0.008187947835255116,74.15377464294434,0.4239908247307788
